price,rating,cpu_model,generation,perform_tier,ram_storage_in_GB,ram_type,ssd_hdd,cpu_cores,threads,yrs_warranty,op_sys,brand,model_name,gaming_laptop,Gpu,ppi
60490,70.0,AMD Ryzen 5,8,Mid,16,DDR5,512,6,12,1,Windows 11 OS,HP,Victus,1,4 GB NVIDIA GeForce RTX 2050,141.21199462911522
33470,61.0,AMD Ryzen 5,7,Mid,16,DDR5,512,4,8,1,Windows 11 OS,Lenovo,V15,0,Other Amd,141.21199462911522
76890,66.0,Intel Core i7,12,Mid,12,DDR5,512,14,20,1,Windows 11 OS,Lenovo,Loq,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
34990,54.0,Intel Core i3,13,Low,8,LPDDR4X,512,6,8,1,Windows 11 OS,Samsung,Galaxy,0,Intel Graphics,141.21199462911522
22990,54.0,Intel Core i3,11,Low,8,DDR4,512,0,4,1,Windows 11 OS,Acer,Others,0,Other Intel,157.3505121487356
56990,64.0,Intel Core i5,12,Mid,16,DDR4,512,12,16,1,Windows 11 OS,Asus,Vivobook,0,4 GB NVIDIA GeForce RTX 2050,141.50971698084905
66250,72.0,AMD Ryzen 5,8,Mid,16,DDR5,512,6,12,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
39591,56.0,Intel Core i5,12,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Acer,Aspire,0,Intel UHD Graphics,141.21199462911522
46990,65.0,AMD Ryzen 5,7,Mid,16,DDR5,512,6,12,1,Windows 11 OS,Lenovo,Thinkbook,0,AMD Radeon Graphics,141.50971698084905
36990,63.0,AMD Ryzen 5,5,Mid,16,DDR4,512,6,12,1,Windows 11 OS,Lenovo,Ideapad,0,AMD Radeon,141.21199462911522
98990,77.0,AMD Ryzen 9,8,High,16,DDR5,1000,8,16,1,Windows 11 OS,HP,Victus,1,8 GB NVIDIA GeForce RTX 4060,141.21199462911522
90900,45.0,Apple M4,0,Low,16,Not_avail,256,10,0,1,Mac OS,Apple,Macbook,0,Other Gpu,224.50560202046395
32990,56.0,Intel Core i7,12,Mid,32,LPDDR4X,512,10,12,1,Windows 11 OS,Others,Others,0,Intel Integrated Iris Xe,157.3505121487356
34990,55.0,Intel Core i3,13,Low,8,DDR4,512,6,8,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
56990,69.0,AMD Ryzen 7,7,Mid,16,DDR5,512,8,16,1,Windows 11 OS,Asus,Tuf,0,4 GB NVIDIA GeForce RTX 2050,141.21199462911522
79990,72.0,Intel Core i5,14,Mid,16,DDR5,512,10,16,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 3050,136.8265290613118
36490,60.0,Intel Core i3,13,Low,16,DDR5,512,6,8,1,Windows 11 OS,Asus,Expertbook,0,Intel Integrated UHD,157.3505121487356
63990,72.0,AMD Ryzen 5,8,Mid,16,DDR5,512,6,12,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
56999,64.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Acer,Aspire,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
119990,79.0,Intel Core i7,14,Mid,16,DDR5,1000,16,24,1,Windows 11 OS,HP,Omen,1,8 GB NVIDIA GeForce RTX 4060,136.8265290613118
52990,57.0,Intel Core i5,13,Low,16,LPDDR4X,512,10,12,1,Windows 11 OS,Samsung,Galaxy,0,Intel Iris Xe Graphics,141.21199462911522
79788,73.0,Intel Core i7,13,Mid,16,DDR5,512,10,16,2,Windows 11 OS,Others,Others,1,8 GB NVIDIA GeForce RTX 4060,141.21199462911522
66800,68.0,Intel Core i5,13,Mid,16,DDR5,1000,10,16,1,Windows 11 OS,Dell,Others,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
65990,70.0,AMD Ryzen 7,7,Mid,24,DDR5,512,8,16,1,Windows 11 OS,Lenovo,Loq,1,Other Nvidia,141.21199462911522
59990,59.0,Ultra Core Ultra 5,1,Low,16,DDR5,1000,14,18,1,Windows 11 OS,HP,Others,0,Intel Integrated,141.21199462911522
37990,55.0,Intel Core i3,13,Low,16,DDR4,512,6,8,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
28990,50.0,AMD Ryzen 5,7,Mid,8,DDR4,512,4,8,1,Windows 11 OS,HP,Others,0,AMD Radeon Graphics,100.45466740469969
29990,55.0,Other AMD,7,Low,8,DDR5,512,4,8,1,Windows 11 OS,HP,Others,0,AMD Radeon AMD,141.21199462911522
39969,55.0,AMD Ryzen 5,7,Mid,16,LPDDR5,512,4,8,1,Windows 11 OS,Asus,Vivobook,0,AMD Radeon AMD,141.21199462911522
59990,43.0,Apple M1,0,Low,8,DDR4,256,8,0,1,Mac OS,Apple,Macbook,0,Other Gpu,226.98300142590537
449990,98.0,Intel Core Ultra 9,2,High,64,DDR5,2000,24,24,1,Windows 11 OS,Asus,Rog,1,Other Nvidia,167.71522012545074
72990,66.0,Intel Core i5,12,Mid,16,DDR5,512,8,12,1,Windows 11 OS,Lenovo,Loq,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
64990,47.0,Qualcomm Snapdragon,0,High,512,Not_avail,0,0,0,0,Other OS,Samsung,Galaxy,0,Other Gpu,0.0
74994,50.0,Apple M2,0,Low,8,DDR4,256,8,0,1,Mac OS,Apple,Macbook,0,Other Gpu,224.50560202046395
129990,82.0,Intel Core Ultra 9,2,High,32,LPDDR5X,1000,16,16,1,Windows 11 OS,Lenovo,Yoga,0,Other Intel,244.01882931577654
47990,59.0,Intel Core i5,12,Mid,16,LPDDR5,512,8,12,1,Windows 11 OS,Lenovo,Ideapad,0,Intel Integrated UHD Graphics,141.21199462911522
38990,52.0,AMD Ryzen 5,7,Mid,16,Not_avail,512,6,12,1,Windows 11 OS,Dell,Inspiron,0,AMD Radeon Graphics,141.21199462911522
51990,57.0,Intel Core i5,13,Low,16,DDR4,512,10,12,1,Windows 11 OS,HP,Others,0,Other Intel,141.21199462911522
29490,57.0,Intel Core i3,12,Low,8,DDR4,512,6,8,1,Windows 11 OS,Lenovo,Ideapad,0,Intel Integrated UHD,157.3505121487356
34990,51.0,Intel Core i5,12,Low,16,Not_avail,512,10,12,1,Windows 11 OS,Acer,Aspire,0,Intel Integrated UHD,157.3505121487356
99990,78.0,AMD Ryzen 7,7,High,16,DDR5,1000,8,16,1,Windows 11 OS,HP,Omen,1,8 GB NVIDIA GeForce RTX 4060,137.68169813014364
73990,42.0,Apple M2,0,Low,16,Not_avail,256,8,0,1,Mac OS,Apple,Macbook,0,Other Gpu,224.50560202046395
81990,73.0,AMD Ryzen 7,7,Mid,24,DDR5,512,8,16,1,Windows 11 OS,Lenovo,Loq,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
118900,75.0,Intel Core i7,14,Mid,16,DDR5,1000,16,24,1,Windows 11 OS,HP,Omen,1,8 GB NVIDIA GeForce RTX 4060,136.8265290613118
31970,61.0,Other AMD,7,Low,16,DDR4,512,4,8,1,Windows 11 OS,Acer,Others,0,AMD Radeon Graphics,157.3505121487356
620990,98.0,Intel Core Ultra 9,2,High,64,DDR5,6000,24,24,1,Windows 11 OS,Msi,Others,1,Other Nvidia,251.57283018817608
54990,56.0,Intel Core i5,2,Low,16,DDR5,512,8,12,1,Windows 11 OS,Others,Others,0,Intel Integrated,245.66444677275396
17990,43.0,Intel Celeron,0,unknown,8,DDR4,512,0,2,1,Windows 11 OS,Acer,Aspire,0,Intel Integrated UHD,135.0942067499465
76990,68.0,Intel Core i5,14,Mid,16,DDR5,512,10,16,1,Windows 11 OS,Acer,Nitro,1,6 GB NVIDIA GeForce RTX 4050,141.50971698084905
25990,51.0,Intel Core i3,12,Low,8,DDR4,512,6,8,1,Windows 11 OS,Acer,Aspire,0,Intel Integrated UHD,157.3505121487356
46791,54.0,Intel Core i5,13,Low,16,DDR4,512,10,12,1,Windows 11 OS,Dell,Inspiron,0,Other Intel,141.21199462911522
42999,63.0,AMD Ryzen 7,7,High,16,DDR4,512,8,16,1,Windows 11 OS,Lenovo,V15,0,AMD Radeon Graphics,141.21199462911522
36490,57.0,Intel Core i3,13,Low,16,DDR5,512,6,8,1,Windows 11 OS,Asus,Expertbook,0,Intel Integrated UHD,141.21199462911522
48990,56.0,Intel Core i5,13,Mid,16,DDR5,512,8,12,1,Windows 11 OS,Asus,Expertbook,0,Intel Integrated UHD,141.21199462911522
8990,,Other brand,0,unknown,32,Not_avail,0,0,0,0,Other OS,Lenovo,Others,0,Other Gpu,0.0
105900,62.0,Ultra Core Ultra 7,1,Mid,16,LPDDR5,512,12,14,1,Windows 11 OS,HP,Others,0,Integrated Intel Graphics,161.72539083525606
34800,53.0,Intel Core i3,13,Low,8,DDR4,512,6,8,1,Windows 11 OS,HP,Others,0,Other Intel,141.21199462911522
39250,39.0,Intel Core i3,13,unknown,8,Not_avail,512,5,6,1,Windows 11 OS,Dell,Inspiron,0,Intel Graphics,161.72539083525606
36540,55.0,Intel Core i5,12,Mid,12,DDR4,512,8,12,1,Windows 11 OS,Acer,Aspire,0,Intel UHD Graphics,141.21199462911522
73990,61.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
59490,59.0,Intel Core i7,13,Mid,16,LPDDR4X,512,10,12,1,Windows 11 OS,Samsung,Galaxy,0,Intel Iris Xe Graphics,141.21199462911522
